#{"t_start": 1587115439.938165, "env_id": "CartPole-v1"}
r,l,t
39.0,39,0.543882
11.0,11,0.547154
11.0,11,0.55036
18.0,18,0.555407
28.0,28,0.563323
15.0,15,0.567533
21.0,21,0.775729
33.0,33,0.785644
28.0,28,0.795925
24.0,24,0.803248
13.0,13,0.807151
20.0,20,0.834462
15.0,15,0.839735
18.0,18,0.846369
15.0,15,0.851623
73.0,73,0.873146
17.0,17,0.897967
13.0,13,0.904283
17.0,17,0.910496
14.0,14,0.914795
36.0,36,0.925611
23.0,23,0.933173
34.0,34,0.963436
15.0,15,0.969324
31.0,31,0.979245
19.0,19,0.985185
16.0,16,0.989816
27.0,27,1.018919
14.0,14,1.023094
28.0,28,1.032813
18.0,18,1.03893
28.0,28,1.047662
48.0,48,1.081166
41.0,41,1.097146
18.0,18,1.102366
60.0,60,1.139973
19.0,19,1.145925
78.0,78,1.174582
39.0,39,1.207632
30.0,30,1.218433
10.0,10,1.221927
22.0,22,1.228947
32.0,32,1.238294
12.0,12,1.241959
15.0,15,1.265738
23.0,23,1.273385
22.0,22,1.280196
28.0,28,1.288411
48.0,48,1.302402
23.0,23,1.328841
39.0,39,1.341919
30.0,30,1.350875
17.0,17,1.355756
40.0,40,1.386512
28.0,28,1.395992
35.0,35,1.406104
49.0,49,1.440442
29.0,29,1.450167
35.0,35,1.461202
28.0,28,1.46973
10.0,10,1.472934
35.0,35,1.503994
23.0,23,1.511176
34.0,34,1.521785
17.0,17,1.527407
68.0,68,1.568856
20.0,20,1.574856
15.0,15,1.57933
16.0,16,1.586209
49.0,49,1.601694
34.0,34,1.632931
58.0,58,1.650348
42.0,42,1.683609
29.0,29,1.692624
43.0,43,1.705899
21.0,21,1.71273
29.0,29,1.721373
67.0,67,1.76205
18.0,18,1.76759
38.0,38,1.779416
55.0,55,1.817091
106.0,106,1.869204
80.0,80,1.89363
18.0,18,1.898921
19.0,19,1.925207
59.0,59,1.943452
80.0,80,1.988031
26.0,26,1.996018
76.0,76,2.018976
162.0,162,2.107918
49.0,49,2.123064
20.0,20,2.129483
51.0,51,2.165408
88.0,88,2.191846
49.0,49,2.226024
75.0,75,2.249631
89.0,89,2.296196
22.0,22,2.303799
199.0,199,2.40774
142.0,142,2.472518
45.0,45,2.486283
131.0,131,2.546165
30.0,30,2.554546
87.0,87,2.600171
34.0,34,2.610303
71.0,71,2.651285
30.0,30,2.660211
72.0,72,2.7022
106.0,106,2.755835
93.0,93,2.784835
86.0,86,2.83223
96.0,96,2.883112
114.0,114,2.938453
32.0,32,2.949315
54.0,54,2.966325
65.0,65,3.005318
52.0,52,3.021782
28.0,28,3.030385
38.0,38,3.062636
67.0,67,3.083768
155.0,155,3.151384
47.0,47,3.18631
47.0,47,3.200769
19.0,19,3.206277
124.0,124,3.264092
186.0,186,3.360821
28.0,28,3.369471
157.0,157,3.437658
26.0,26,3.445544
138.0,138,3.526906
88.0,88,3.553546
69.0,69,3.596175
80.0,80,3.620562
57.0,57,3.657717
37.0,37,3.669271
193.0,193,3.767761
159.0,159,3.836721
131.0,131,3.896966
86.0,86,3.946692
64.0,64,3.967972
60.0,60,4.009129
184.0,184,4.091088
155.0,155,4.160709
281.0,281,4.286571
72.0,72,4.328479
88.0,88,4.376195
88.0,88,4.403957
188.0,188,4.501467
87.0,87,4.527786
138.0,138,4.611009
95.0,95,4.640664
222.0,222,4.750444
134.0,134,4.812052
129.0,129,4.870777
152.0,152,4.935382
159.0,159,5.003626
171.0,171,5.097674
291.0,291,5.222855
164.0,164,5.290977
114.0,114,5.344806
191.0,191,5.439774
386.0,386,5.613995
210.0,210,5.700108
262.0,262,5.825948
235.0,235,5.940861
500.0,500,6.17539
263.0,263,6.295867
172.0,172,6.389528
194.0,194,6.469059
109.0,109,6.521739
153.0,153,6.587048
219.0,219,6.692949
131.0,131,6.752095
259.0,259,6.87063
145.0,145,6.935707
75.0,75,6.97916
161.0,161,7.047547
201.0,201,7.130205
129.0,129,7.189517
150.0,150,7.273367
223.0,223,7.361302
43.0,43,7.394161
222.0,222,7.480211
199.0,199,7.578397
148.0,148,7.643762
329.0,329,7.805147
172.0,172,7.879639
391.0,391,8.060417
158.0,158,8.130242
227.0,227,8.241426
94.0,94,8.291552
115.0,115,8.347755
254.0,254,8.462761
226.0,226,8.57028
185.0,185,8.649303
205.0,205,8.751183
500.0,500,8.965106
417.0,417,9.176839
121.0,121,9.234776
196.0,196,9.313132
399.0,399,9.491808
128.0,128,9.54861
118.0,118,9.602857
387.0,387,9.777061
323.0,323,9.938409
214.0,214,10.022436
169.0,169,10.113322
233.0,233,10.220949
441.0,441,10.41034
127.0,127,10.467127
178.0,178,10.539639
174.0,174,10.634596
427.0,427,10.825552
332.0,332,10.984475
301.0,301,11.11442
500.0,500,11.342418
160.0,160,11.411396
147.0,147,11.476731
234.0,234,11.590411
389.0,389,11.781272
222.0,222,11.892508
500.0,500,12.128213
116.0,116,12.186688
500.0,500,12.424256
120.0,120,12.481043
108.0,108,12.515434
145.0,145,12.600595
160.0,160,12.669454
161.0,161,12.737621
110.0,110,12.790764
202.0,202,12.891757
104.0,104,12.922504
136.0,136,12.982999
250.0,250,13.096995
178.0,178,13.191878
191.0,191,13.271314
155.0,155,13.338377
107.0,107,13.391719
135.0,135,13.451963
188.0,188,13.547621
159.0,159,13.615956
135.0,135,13.679676
137.0,137,13.74704
166.0,166,13.834985
115.0,115,13.872002
135.0,135,13.934433
199.0,199,14.035322
121.0,121,14.091015
177.0,177,14.163626
140.0,140,14.225009
134.0,134,14.285282
153.0,153,14.371635
128.0,128,14.429067
106.0,106,14.481002
172.0,172,14.552956
122.0,122,14.610761
71.0,71,14.633965
148.0,148,14.722136
98.0,98,14.752846
150.0,150,14.818435
116.0,116,14.874549
145.0,145,14.959144
149.0,149,15.025344
111.0,111,15.079399
55.0,55,15.097689
116.0,116,15.151803
230.0,230,15.263111
150.0,150,15.328335
146.0,146,15.394413
385.0,385,15.572465
132.0,132,15.634069
158.0,158,15.70275
126.0,126,15.76011
136.0,136,15.821636
144.0,144,15.887301
184.0,184,15.984757
174.0,174,16.054933
123.0,123,16.112072
167.0,167,16.183206
179.0,179,16.281113
133.0,133,16.341999
149.0,149,16.408985
147.0,147,16.474498
120.0,120,16.530644
159.0,159,16.602053
204.0,204,16.706201
183.0,183,16.78441
142.0,142,16.868466
242.0,242,16.961301
500.0,500,17.188796
500.0,500,17.4181
500.0,500,17.652762
500.0,500,17.879772
500.0,500,18.114921
411.0,411,18.297884
345.0,345,18.460454
315.0,315,18.596468
464.0,464,18.827612
500.0,500,19.060318
303.0,303,19.189779
292.0,292,19.340067
142.0,142,19.403789
240.0,240,19.516929
261.0,261,19.637172
131.0,131,19.696333
171.0,171,19.767654
409.0,409,19.952867
500.0,500,20.187804
428.0,428,20.380436
283.0,283,20.523685
405.0,405,20.707951
500.0,500,20.940562
